uml_id,operator_pt,parent_group,province,latitude,longitude,source_count,is_indonesian
PO1000000017,AGROPALMA,AGROPALMA,Pará,-2.25,-48.59,1,False
PO1000000019,EPA MANAGEMENT SDN BHD,KULIM (MALAYSIA) BERHAD,Johor,1.73,103.54,1,False
PO1000000020,NEW BRITAIN PALM OIL,NBPOL,West New Britain,-5.62,150.24,1,False
PO1000000021,INTI INDOSAWIT SUBUR,ROYAL GOLDEN EAGLE,Riau,0.43,101.82,2,True
PO1000000052,PAMOL ESTATES (SABAH) SDN BHD,IOI CORPORATION,Sabah,6.0,117.4,1,False
PO1000000053,HARGY OIL PALM LTD,SIPEF,West New Britain,-5.31,151.01,1,False
PO1000000054,MUSIM MAS HOLDINGS PTE LTD,MUSIM MAS,Riau,0.08,102.03,2,True
PO1000000058,HINDOLI,CARGILL,Sumatera Selatan,-2.61,104.13,2,True
PO1000000063,SIME DARBY PLANTATION BHD,SIME DARBY,Sabah,4.7,118.06,1,False
PO1000000064,SIME DARBY PLANTATION BHD,SIME DARBY,Sabah,4.37,117.83,1,False
PO1000000065,SIME DARBY PLANTATION BHD,SIME DARBY,Sabah,5.64,118.17,1,False
PO1000000066,SABAHMAS PLANTATION SDN BHD,WILMAR GROUP,Sabah,5.18,118.41,1,False
PO1000000091,SAREMAS SDN BHD,WILMAR GROUP,Sarawak,3.52,113.74,1,False
PO1000000092,AGRO WIRATAMA,MUSIM MAS,Sumatera Barat,0.2,99.63,2,True
PO1000000093,SAREMAS SDN BHD,WILMAR GROUP,Sarawak,3.45,113.77,1,False
PO1000000094,IOI CORPORATION BHD,IOI CORPORATION,Johor,2.61,102.68,1,False
PO1000000095,EASTERN SUMATERA INDONESIA,SIPEF,Sumatera Utara,3.01,99.24,2,True
PO1000000097,SIME DARBY PLANTATION BHD,SIME DARBY,Selangor,2.88,101.44,1,False
PO1000000098,SIME DARBY PLANTATION BHD,SIME DARBY,Negeri Sembilan,2.66,101.79,1,False
PO1000000099,TOLAN TIGA INDONESIA,SIPEF,Sumatera Utara,2.06,100.08,2,True
PO1000000101,SIME DARBY PLANTATION BHD,SIME DARBY,Sabah,5.73,117.75,1,False
PO1000000102,RAMU AGRI INDUSTRIES,NBPOL,Morobe,-6.07,145.98,1,False
PO1000000103,SIME DARBY PLANTATION BHD,SIME DARBY,Selangor,2.9,101.36,1,False
PO1000000104,SIME DARBY PLANTATION BHD,SIME DARBY,Kedah,5.39,100.71,1,False
PO1000000105,HARGY OIL PALM LTD,SIPEF,West New Britain,-5.09,151.22,1,False
PO1000000106,SUKAJADI SAWIT MEKAR,MUSIM MAS,Kalimantan Tengah,-2.38,112.54,2,True
PO1000000107,SIME INDO AGRO,SIME DARBY,Kalimantan Barat,0.27,110.48,2,True
PO1000000109,IOI CORPORATION BHD,IOI CORPORATION,Johor,2.11,103.39,1,False
PO1000000110,IOI CORPORATION BHD,IOI CORPORATION,Sabah,5.84,117.84,1,False
PO1000000114,SIME DARBY PLANTATION BHD,SIME DARBY,Johor,2.06,103.15,1,False
PO1000000118,IOI CORPORATION BHD,IOI CORPORATION,Sabah,4.76,118.09,1,False
PO1000000120,IOI CORPORATION BHD,IOI CORPORATION,Pahang,3.3,103.14,1,False
PO1000000122,IOI CORPORATION BHD,IOI CORPORATION,Sabah,5.56,117.23,1,False
PO1000000123,C.I. TEQUENDAMA S.A.S.,DAABON GROUP,Magdalena,10.55,-74.18,1,False
PO1000000128,CAROTINO SDN BHD,JC CHANG (PTE) LTD,Pahang,3.82,102.82,1,False
PO1000000130,SAPI PLANTATION SDN BHD,WILMAR GROUP,Sabah,5.83,117.34,1,False
PO1000000131,GUADALCANAL PLAINS PALM OIL LTD,NBPOL,Guadalcanal,-9.44,160.22,1,False
PO1000000134,SUKAJADI SAWIT MEKAR,MUSIM MAS,Kalimantan Tengah,-2.37,112.6,2,True
PO1000000137,SAPI PLANTATION SDN BHD,WILMAR GROUP,Sabah,5.73,117.39,1,False
PO1000000139,REKA HALUS SDN BHD,WILMAR GROUP,Sabah,5.77,117.46,1,False
PO1000000143,REA KALTIM,REA HOLDINGS,Kalimantan Timur,0.26,116.15,2,True
PO1000000144,MUSTIKA SEMBULUH,WILMAR GROUP,Kalimantan Tengah,-2.59,112.51,2,True
PO1000000146,KERRY SAWIT INDONESIA,WILMAR GROUP,Kalimantan Tengah,-2.78,112.51,2,True
PO1000000148,INTI INDOSAWIT SUBUR,ROYAL GOLDEN EAGLE,Riau,-0.22,102.1,2,True
PO1000000156,SIME DARBY PLANTATION BHD,SIME DARBY,Trengganu,3.96,103.31,1,False
PO1000000157,SIME DARBY PLANTATION BHD,SIME DARBY,Selangor,3.4,101.42,1,False
PO1000000169,SABAHMAS PLANTATION SDN BHD,WILMAR GROUP,Sabah,5.69,117.09,1,False
