uml_id,trase_nameplate_capacity_t_ffb_hr
PO1000004269,60.0
PO1000008154,45.0
PO1000008417,60.0
PO1000004351,30.0
PO1000007616,60.0
PO1000000284,60.0
PO1000004554,30.0
PO1000004072,45.0
PO1000006188,45.0
PO1000010073,60.0
PO1000007533,45.0
PO1000004475,30.0
PO1000004392,45.0
PO1000008386,45.0
PO1000008158,30.0
PO1000001637,60.0
PO1000004218,45.0
PO1000004217,30.0
PO1000004842,30.0
PO1000007627,90.0
PO1000004942,80.0
PO1000004215,60.0
PO1000004419,60.0
PO1000004476,80.0
PO1000004344,45.0
PO1000004116,60.0
PO1000004078,45.0
PO1000004403,45.0
PO1000006222,60.0
PO1000004110,45.0
PO1000004576,30.0
PO1000008388,45.0
PO1000004575,45.0
PO1000007457,45.0
PO1000004513,30.0
PO1000002631,45.0
PO1000007549,45.0
PO1000004214,60.0
PO1000008170,60.0
PO1000004192,30.0
PO1000004931,45.0
PO1000008591,20.0
PO1000009022,45.0
PO1000004500,60.0
PO1000007468,45.0
PO1000004315,45.0
PO1000006173,45.0
PO1000004265,60.0
PO1000004266,30.0
PO1000002607,45.0
PO1000004228,45.0
PO1000004179,60.0
PO1000004176,60.0
PO1000004165,60.0
PO1000004156,60.0
PO1000004093,45.0
PO1000004932,50.0
PO1000004096,60.0
PO1000004509,45.0
PO1000004505,60.0
PO1000004481,50.0
PO1000006198,45.0
PO1000008218,45.0
PO1000004113,60.0
PO1000004372,70.0
PO1000004935,60.0
PO1000007596,45.0
PO1000004408,45.0
PO1000004422,60.0
PO1000004843,30.0
PO1000004167,45.0
PO1000004571,50.0
PO1000000531,60.0
PO1000006366,90.0
PO1000001992,60.0
PO1000000530,60.0
PO1000004946,90.0
PO1000004572,45.0
PO1000004101,30.0
PO1000000884,60.0
PO1000004365,60.0
PO1000000184,45.0
PO1000004522,
PO1000008211,45.0
PO1000001638,80.0
PO1000004274,30.0
PO1000005204,30.0
PO1000004318,75.0
PO1000001315,60.0
PO1000005206,30.0
PO1000007652,45.0
PO1000000092,45.0
PO1000004366,60.0
PO1000004303,30.0
PO1000004482,45.0
PO1000007467,30.0
PO1000006150,60.0
PO1000007481,45.0
PO1000004486,12.5
PO1000007628,60.0
PO1000004352,45.0
PO1000004945,30.0
PO1000004582,25.0
PO1000004925,30.0
PO1000008147,60.0
PO1000004579,30.0
PO1000004127,60.0
PO1000008217,45.0
PO1000010259,40.0
PO1000004499,30.0
PO1000007486,45.0
PO1000004204,30.0
PO1000004490,45.0
PO1000004455,45.0
PO1000004154,45.0
PO1000004457,20.0
PO1000008176,35.0
PO1000004470,75.0
PO1000007637,45.0
PO1000001761,60.0
PO1000004866,60.0
PO1000004191,90.0
PO1000008180,45.0
PO1000001683,90.0
PO1000004930,90.0
PO1000001684,90.0
PO1000004410,90.0
PO1000008216,60.0
PO1000007623,30.0
PO1000008200,60.0
PO1000004210,45.0
PO1000007537,15.0
PO1000004531,30.0
PO1000000058,120.0
PO1000009068,60.0
PO1000002360,30.0
PO1000001208,60.0
PO1000003254,120.0
PO1000001207,60.0
PO1000004853,30.0
PO1000007629,30.0
PO1000004358,60.0
PO1000004934,30.0
PO1000007462,45.0
PO1000004160,60.0
PO1000004307,30.0
PO1000004313,30.0
PO1000004546,
PO1000009358,45.0
PO1000008184,60.0
PO1000004153,45.0
PO1000003120,60.0
PO1000003257,60.0
PO1000004270,30.0
PO1000004374,30.0
PO1000004367,30.0
PO1000004362,30.0
PO1000006208,60.0
PO1000004353,30.0
PO1000006249,30.0
PO1000007511,60.0
PO1000007496,60.0
PO1000004488,40.0
PO1000004085,45.0
PO1000004081,60.0
PO1000002037,60.0
PO1000000354,80.0
PO1000002088,60.0
PO1000000939,60.0
PO1000000950,60.0
PO1000008273,30.0
PO1000004198,45.0
PO1000004162,60.0
PO1000008151,30.0
PO1000004434,45.0
PO1000004495,45.0
PO1000004511,45.0
PO1000004242,30.0
PO1000004321,40.0
PO1000007648,80.0
PO1000004070,70.0
PO1000004234,60.0
PO1000006230,45.0
PO1000004865,60.0
PO1000004102,45.0
PO1000006156,60.0
PO1000004285,20.0
PO1000009019,30.0
PO1000005145,45.0
PO1000008398,30.0
PO1000004245,30.0
PO1000004103,40.0
PO1000008264,45.0
PO1000008153,20.0
PO1000004565,30.0
PO1000008348,60.0
PO1000001960,45.0
PO1000004190,60.0
PO1000008601,45.0
PO1000008138,30.0
PO1000004869,45.0
PO1000004504,45.0
PO1000004064,60.0
PO1000001740,90.0
PO1000002103,60.0
PO1000004525,60.0
PO1000008197,30.0
PO1000007508,30.0
PO1000004458,80.0
PO1000001343,60.0
PO1000001152,30.0
PO1000001151,60.0
PO1000001383,60.0
PO1000004177,20.0
PO1000006977,60.0
PO1000002320,45.0
PO1000001631,60.0
PO1000004132,15.0
PO1000007602,40.0
PO1000002198,80.0
PO1000001154,80.0
PO1000001155,80.0
PO1000001156,80.0
PO1000004656,80.0
PO1000002863,60.0
PO1000001345,60.0
PO1000008429,60.0
PO1000001344,30.0
PO1000004655,80.0
PO1000001722,30.0
PO1000001064,30.0
PO1000001065,60.0
PO1000003782,80.0
PO1000001920,80.0
PO1000010249,15.0
PO1000001765,60.0
PO1000001150,60.0
PO1000007626,80.0
PO1000007509,45.0
PO1000003333,90.0
PO1000002677,90.0
PO1000003927,90.0
PO1000008343,90.0
PO1000004456,45.0
PO1000004291,
PO1000004309,30.0
PO1000008277,30.0
PO1000004094,60.0
PO1000007541,45.0
PO1000006328,60.0
PO1000008224,45.0
PO1000007547,100.0
PO1000004427,45.0
PO1000006293,60.0
PO1000008131,45.0
PO1000009580,40.0
PO1000004320,
PO1000006210,30.0
PO1000006348,90.0
PO1000004555,60.0
PO1000004203,45.0
PO1000004260,45.0
PO1000006236,45.0
PO1000004496,40.0
PO1000004241,30.0
PO1000004443,60.0
PO1000004533,120.0
PO1000004169,60.0
PO1000004530,20.0
PO1000004100,80.0
PO1000004464,60.0
PO1000004864,60.0
PO1000004451,50.0
PO1000004447,40.0
PO1000004426,60.0
PO1000004337,30.0
PO1000004375,100.0
PO1000004378,60.0
PO1000008137,45.0
PO1000008178,30.0
PO1000008171,30.0
PO1000004200,60.0
PO1000007613,80.0
PO1000002651,30.0
PO1000002653,75.0
PO1000004376,30.0
PO1000006346,60.0
PO1000002159,60.0
PO1000000567,60.0
PO1000002158,45.0
PO1000006258,45.0
PO1000002227,45.0
