filing_id,filer_org,client_name,issue_codes,issues_text,income,expenses,report_year,report_type,lobbyists,source_path
430570001,"Coherus Biosciences, Inc.","Coherus Biosciences, Inc.",HCR;GOV,,,80000.00,2025,Q4,David Sanders | David Sanders,house\2025_4thQuarter_XML\301813398.xml
434770349,BALLARD PARTNERS,ExThera Medical Corporation,MED,,20000.00,,2025,4T,Brian Ballard | Sylvester Lukis | Stephen Klopp | Gerald John O'Hanlon,house\2025_4thQuarter_XML\301814448.xml
405370068,"Bell & Lindsay, Inc.",electroCore,DEF;HCR;VET,,10000.00,,2025,Q4,Mark Lindsay | Mark Lindsay | Mark Lindsay | Erik Dell | Mark Lindsay | Mark Lindsay | Mark Lindsay | Erik Dell | Mark Lindsay | Mark Lindsay,house\2025_4thQuarter_XML\301815722.xml
445310011,"PORT SIDE STRATEGIES, LLC",Physicians for a National Health Program (PNHP),MMM;LBR,,10000.00,,2025,4T,William C. Fischer | William C. Fischer,house\2025_4thQuarter_XML\301816210.xml
372080001,"Frontline Public Strategies, Inc.",Illinois HomeCare & Hospice Council,HCR,,,,2025,Q4,Sara Ratcliffe,house\2025_4thQuarter_XML\301816260.xml
361180154,"CGCN GROUP, LLC",The Surety & Fidelity Association of America,FIN;INS,,20000.00,,2025,4T,Steve Clark | Sam Geduldig | Mike Nielsen | John Stipicevic | Alex Renjel | Scott Riplinger | Travis Cone | Steve Clark | Sam Geduldig | Mike Nielsen,house\2025_4thQuarter_XML\301816366.xml
455190001,"VALNEVA USA, INC.","VALNEVA USA, INC.",HCR,,,120000.00,2025,4T,Amanda Arnold,house\2025_4thQuarter_XML\301816528.xml
343810150,"JEFFREY J. KIMBELL & ASSOCIATES, INC.",Novavax,HCR,,30000.00,,2025,4T,Jeffrey Kimbell | Keith Studdard | John Herzog | Laura Kemper | Kenneth Hodge | John Ray | Brett Meeks | David Rudloff,house\2025_4thQuarter_XML\301816559.xml
421310344,Forbes-Tate,JSI,FOR;HCR,,,,2025,4T,Kristina Dunklin | Justin Kintz | Samantha McLean | Kristina Dunklin | Justin Kintz | Samantha McLean,house\2025_4thQuarter_XML\301816673.xml
563950001,"E2C Strategies, LLC",The Diving Equipment & Marketing Association (DEMA),INS;TOR,,30000.00,,2025,Q4,Emily Coyle | Emily Coyle,house\2025_4thQuarter_XML\301816722.xml
771650001,WILLOW LABORATORIES,Willow Laboratories,HCR;MMM;FIN,,,,2025,Q4,Catherine Meier | Catherine Meier | Catherine Meier,house\2025_4thQuarter_XML\301816734.xml
339990000,MOSAIC,MOSAIC,HCR,,,5600.00,2025,Q4,Cheryl Wicks,house\2025_4thQuarter_XML\301816772.xml
563140001,Disability Belongs,Disability Belongs,CIV;MMM;GOV;COM,,,,2025,Q4,Ariel Simms | Rostom Dadian | Darren Bates | Ariel Simms | Rosotm Dadian | Darren Bates | Rostom Dadian | Ariel Simms | Darren Bates | Ariel Simms,house\2025_4thQuarter_XML\301816909.xml
409800027,Lobbyit.com,American Jail Association,HCR;LAW,,10000.00,,2025,Q4,Karl Stark | Karl Stark,house\2025_4thQuarter_XML\301817008.xml
448660001,SCHOOL-BASED HEALTH ALLIANCE,SCHOOL-BASED HEALTH ALLIANCE,HCR;BUD;MMM,,,20000.00,2025,Q4,Zachary Scott | Zachary Scott | Zachary Scott,house\2025_4thQuarter_XML\301817040.xml
421310338,Forbes-Tate,Dentsply Sirona,HCR;MMM;TRD,,50000.00,,2025,4T,Cindy Brown | Barrett Thornhill | Kristina Dunklin | Michael Williams | Cindy Brown | Barrett Thornhill | Kristina Dunklin | Michael Williams | Cindy Brown | Barrett Thornhill,house\2025_4thQuarter_XML\301817075.xml
421860042,"Republic Consulting, LLC",IQVIA,MED;PHA;HCR,,60000.00,,2025,Q4,Jody Hoffman | Jody Hoffman | Jody Hoffman,house\2025_4thQuarter_XML\301817113.xml
421860045,"Republic Consulting, LLC",WW International (formerly known as Weight Watchers),HCR;MMM,,10000.00,,2025,Q4,Jody Hoffman | Jody Hoffman,house\2025_4thQuarter_XML\301817115.xml
380880083,"The Petrizzo Group, Inc.",National Down Syndrome Society,HCR;WEL;MMM,,40000.00,,2025,4T,Megan Burke | Megan Burke | Megan Burke,house\2025_4thQuarter_XML\301817130.xml
380880008,"The Petrizzo Group, Inc.","Seattle Children's Hospital, Research and Foundation",HCR;BUD;MED;MMM,,90000.00,,2025,4T,Megan Burke | Megan Burke | Megan Burke | Megan Burke,house\2025_4thQuarter_XML\301817131.xml
409800037,Lobbyit.com,American Case Management Association,HCR;TEC,,10000.00,,2025,Q4,Quardricos Driskell | Quardricos Driskell,house\2025_4thQuarter_XML\301817137.xml
409800083,Lobbyit.com,National Commission on Correctional Health Care,HCR,,,,2025,Q4,Jonathan Taylor,house\2025_4thQuarter_XML\301817143.xml
409800124,Lobbyit.com,American Association of Orthopaedic Executives,HCR,,10000.00,,2025,4T,Quardricos Driskell,house\2025_4thQuarter_XML\301817151.xml
409800163,Lobbyit.com,American Dental Hygienists Association,HCR,,15000.00,,2025,Q4,Quardricos Driskell,house\2025_4thQuarter_XML\301817161.xml
409800164,Lobbyit.com,Wellness AI,HCR;SCI,,,,2025,Q4,Quardricos Driskell | Quardricos Driskell,house\2025_4thQuarter_XML\301817162.xml
409800168,Lobbyit.com,Child Neurology Society,HCR,,7500.00,,2025,Q4,Quardricos Driskell,house\2025_4thQuarter_XML\301817166.xml
383220003,Miller-Wenhold Capitol Strategies,American Association of Healthcare Administrative Management,HCR,,15000.00,,2025,4T,paul miller,house\2025_4thQuarter_XML\301817215.xml
383220022,Miller-Wenhold Capitol Strategies,Anoka County Regional Railroad Authority,TRA;HCR;VET,,18000.00,,2025,Q4,Paul Miller | Paul Miller | Paul Miller,house\2025_4thQuarter_XML\301817217.xml
383220023,Miller-Wenhold Capitol Strategies,"The Transportation Alliance (formerly Taxicab, Limousine & Paratransit Assn.)",TRA;MMM;BUD;GOV;LBR,,25000.00,,2025,Q4,paul miller | Paul Miller | Paul Miller | Paul Miller | Paul Miller,house\2025_4thQuarter_XML\301817218.xml
409800173,Lobbyit.com,Patients Rising,HCR,,10000.00,,2025,Q4,Quardricos Driskell,house\2025_4thQuarter_XML\301817231.xml
373380132,"The Nickles Group, LLC",ACIST Medical Systems,MMM,,10000.00,,2025,4T,Brett Baker | Mary Beth Savary Taylor | Greg D'Angelo,house\2025_4thQuarter_XML\301817280.xml
772890001,"CONNELL CONSULTING BUSINESS AGENCY, LLC",TeleEMC LLC,INS,,,,2025,Q4,Liam Connell,house\2025_4thQuarter_XML\301817320.xml
771310001,Mr. Craig Jeffries,Homestyle Direct,HCR,,30000.00,,2025,4T,craig jeffries,house\2025_4thQuarter_XML\301817325.xml
771310002,Mr. Craig Jeffries,US Urology Partners,HCR,,40000.00,,2025,Q4,craig jeffries,house\2025_4thQuarter_XML\301817326.xml
559760001,"Village Practice Management Company Holdings, LLC","Village Practice Management Company Holdings, LLC",MMM,,,60000.00,2025,4T,Gary Jacobs | Alexa Roberts,house\2025_4thQuarter_XML\301817352.xml
419480016,"Active Policy Solutions, LLC",American College Health Association,HCR,,10000.00,,2025,Q4,Jason Marmon | Francisco Chang,house\2025_4thQuarter_XML\301817357.xml
558610001,PONTIFEX STRATEGIES LLC,Sixteen Thirty Fund,HCR,,40000.00,,2025,Q4,Ellen Doneski,house\2025_4thQuarter_XML\301817358.xml
432640001,,National Retiree Legislative Network,MMM;RET;HCR,,15000.00,,2025,Q4,Alyson Parker | Alyson Parker | ALYSON PARKER,house\2025_4thQuarter_XML\301817387.xml
381850002,Dunkel Government Relations,American Optometric Association,HCR,,36000.00,,2025,Q4,Robert Dunkel,house\2025_4thQuarter_XML\301817400.xml
380880078,"The Petrizzo Group, Inc.",Medical Alley Association,HCR;MMM;TAX,,40000.00,,2025,Q4,Megan Burke | T.J. Petrizzo | T.J. Petrizzo | Megan Burke | T.J. Petrizzo | Megan Burke,house\2025_4thQuarter_XML\301817430.xml
380880090,"The Petrizzo Group, Inc.",Council for Quality Respiratory Care,HCR;MMM,,45000.00,,2025,Q4,T.J. Petrizzo | Megan Burke | T.J. Petrizzo | Megan Burke,house\2025_4thQuarter_XML\301817431.xml
380880088,"The Petrizzo Group, Inc.","Akebia Therapeutics, Inc.",HCR;MMM,,45000.00,,2025,Q4,T.J. Petrizzo | Megan Burke | T.J. Petrizzo | Megan Burke,house\2025_4thQuarter_XML\301817432.xml
417610021,Tauzin Strategic Networks,RazorMetrics,MMM;PHA,,37500.00,,2025,Q4,Wilbert Tauzin | Wilbert Tauzin,house\2025_4thQuarter_XML\301817464.xml
315060002,"ROBERT N. PYLE & ASSOCIATES, INC.",Independent Bakers Association,AGR;CAW;CSP;CDT;ECN;ENG;FOO;HCR;UTI;TRU;URB;GOV;RRR;ACC,,,,2025,Q4,Nicholas Pyle | Nicholas Pyle | Nicholas Pyle | Nicholas Pyle | Nicholas Pyle | Nicholas Pyle | Nicholas Pyle | Nicholas Pyle | Nicholas Pyle | Nicholas Pyle,house\2025_4thQuarter_XML\301817473.xml
386720009,"FRANCIS EDWARD & CRONIN, INC.",Lewy Body Dementia Association,BUD;MED,,20000.00,,2025,Q4,Philip Cronin | Philip Cronin,house\2025_4thQuarter_XML\301817486.xml
771350001,"CONSCIENCE POINT CONSULTING, INC.","Zeel Networks, Inc.",VET;GOV;MMM,,15000.00,,2025,Q4,Nathaniel Wienecke | Nathaniel Wienecke | Nathaniel Wienecke | Nathaniel Wienecke,house\2025_4thQuarter_XML\301817487.xml
406980006,CSA Strategy Group LLC (formerly CSA Strategies LLC),Coordintaed Care Network,HCR,,30000.00,,2025,Q4,Alejandro Urrea,house\2025_4thQuarter_XML\301817492.xml
411290004,"Kozak & Salina, LLC",Cornell Scott-Hill Health Center,HCR,,7500.00,,2025,Q4,Adam Salina | David Kozak,house\2025_4thQuarter_XML\301817568.xml
409540000,Doctors Hospital at Renaissance,Doctors Hospital at Renaissance,HCR;MMM;BUD;GOV,,,70000.00,2025,Q4,Roberto Haddad | Roberto Haddad | Roberto Haddad | Roberto Haddad,house\2025_4thQuarter_XML\301817570.xml
668430001,GENESIS HEALTH SCIENCES LLC,Genesis Health Sciences LLC,HCR,,,,2025,Q4,Tom Carter,house\2025_4thQuarter_XML\301817576.xml
394100009,Horizon Government Affairs,"Amicus Therapeutics, Inc.",HCR,,10000.00,,2025,4T,Jennifer Bernstein,house\2025_4thQuarter_XML\301817590.xml
446970011,RYAN COSTELLO STRATEGIES,Pharmaceutical Care Management Association,HCR,,50000.00,,2025,Q4,Ryan Costello,house\2025_4thQuarter_XML\301817596.xml
416720001,"DUMBARTON GROUP, LLC",Innovatix,HCR,,,,2025,Q4,Leigh Davitian | Brad Kile,house\2025_4thQuarter_XML\301817604.xml
316030039,,"Healthpeak Properties, Inc. FKA Physicians Realty Trust",TAX;HCR,,60000.00,,2025,Q4,Marshall Brachman | Marshall Brachman,house\2025_4thQuarter_XML\301817612.xml
316030040,,Oklahoma Heart Hospital,HCR;MMM,,15000.00,,2025,Q4,Marshall Brachman | Marshall Brachman,house\2025_4thQuarter_XML\301817613.xml
403420044,"Taft Stettinius & Hollister LLP dba Taft Advisors LLC fka (Taft, Stettinius & Hollister, LLP)",Fidelity and Guaranty Life,INS,,,,2025,Q4,Tom McDonald,house\2025_4thQuarter_XML\301817617.xml
453930003,TOM BRADLEY HEALTH POLICY LLC,DaVita Inc.,MMM,,30000.00,,2025,Q4,Tom Bradley,house\2025_4thQuarter_XML\301817664.xml
386720009,"FRANCIS EDWARD & CRONIN, INC.",Lewy Body Dementia Association,BUD;MED,,20000.00,,2025,4T,Philip Cronin | Philip Cronin,house\2025_4thQuarter_XML\301817674.xml
357320011,The Harris Firm,Holistic Industries Inc.,SMB;TAX;MED,,80000.00,,2025,Q4,Sheldon Harris | Sheldon Harris | Sheldon Harris,house\2025_4thQuarter_XML\301817677.xml
447840001,ALLIANCE FOR PHYSICAL THERAPY QUALITY AND INNOVATION,ALLIANCE FOR PHYSICAL THERAPY QUALITY AND INNOVATION,HCR,,,80000.00,2025,Q4,Nikesh Patel,house\2025_4thQuarter_XML\301817683.xml
429690012,"Connect 4 Strategies, LLC",The Haystack Project,HCR,,,,2025,Q4,Saira Sultan Chirico,house\2025_4thQuarter_XML\301817699.xml
565150001,Kristine Blackwood LLC,American Geriatrics Society,BUD;HCR;MMM,,20000.00,,2025,Q4,Kristine Blackwood | Kristine Blackwood | Kristine Blackwood,house\2025_4thQuarter_XML\301817706.xml
424670003,The D Major Group,Banner Health,MMM;HCR;BUD,,30000.00,,2025,Q4,Diane Major | Brenda Reese | Diane Major | Brenda Reese | Diane Major | Brenda Reese,house\2025_4thQuarter_XML\301817707.xml
424670005,The D Major Group,Health Care Supply Chain Association,MMM;HCR;TRD,,50000.00,,2025,Q4,Diane Major | Brenda Reese | Diane Major | Brenda Reese | Diane Major | Brenda Reese,house\2025_4thQuarter_XML\301817708.xml
424670010,The D Major Group,The Doctors Hospital at Renaissance,MMM;HCR;BUD,,40000.00,,2025,Q4,Diane Major | Brenda Reese | Diane Major | Brenda Reese | Diane Major | Brenda Reese,house\2025_4thQuarter_XML\301817709.xml
424670011,The D Major Group,"EMD Serono, Inc.",BUD;HCR;DEF,,30000.00,,2025,Q4,Diane Major | Brenda Reese | Diane Major | Brenda Reese | Diane Major | Brenda Reese,house\2025_4thQuarter_XML\301817711.xml
424670012,The D Major Group,"Health Care Service Corporation, a Mutual Legal Reserve Company (HCSC)",INS;MMM,,20000.00,,2025,Q4,Diane Major | Brenda Reese | Diane Major | Brenda Reese,house\2025_4thQuarter_XML\301817713.xml
