entity_id,bioguide_id,name,state,party,chamber
M:A000055,A000055,Robert B. Aderholt,AL,Republican,House
M:A000370,A000370,Alma S. Adams,NC,Democrat,House
M:A000371,A000371,Pete Aguilar,CA,Democrat,House
M:A000375,A000375,Jodey C. Arrington,TX,Republican,House
M:A000380,A000380,Gabe Amo,RI,Democrat,House
M:B000490,B000490,"Sanford D. Bishop, Jr.",GA,Democrat,House
M:B001230,B001230,Tammy Baldwin,WI,Democrat,Senate
M:B001236,B001236,John Boozman,AR,Republican,Senate
M:B001243,B001243,Marsha Blackburn,TN,Republican,Senate
M:B001257,B001257,Gus M. Bilirakis,FL,Republican,House
M:B001260,B001260,Vern Buchanan,FL,Republican,House
M:B001261,B001261,John Barrasso,WY,Republican,Senate
M:B001277,B001277,Richard Blumenthal,CT,Democrat,Senate
M:B001281,B001281,Joyce Beatty,OH,Democrat,House
M:B001287,B001287,Ami Bera,CA,Democrat,House
M:B001292,B001292,"Donald S. Beyer, Jr.",VA,Democrat,House
M:B001296,B001296,Brendan F. Boyle,PA,Democrat,House
M:B001299,B001299,Jim Banks,IN,Republican,Senate
M:B001313,B001313,Shontel M. Brown,OH,Democrat,House
M:B001314,B001314,Aaron Bean,FL,Republican,House
M:B001316,B001316,Eric Burlison,MO,Republican,House
M:B001318,B001318,Becca Balint,VT,Democrat,House
M:B001321,B001321,Tom Barrett,MI,Republican,House
M:B001323,B001323,Nicholas J. Begich III,AK,Republican,House
M:B001324,B001324,Wesley Bell,MO,Democrat,House
M:B001327,B001327,"Robert P. Bresnahan, Jr.",PA,Republican,House
M:C000880,C000880,Mike Crapo,ID,Republican,Senate
M:C001047,C001047,Shelley Moore Capito,WV,Republican,Senate
M:C001055,C001055,Ed Case,HI,Democrat,House
M:C001056,C001056,John Cornyn,TX,Republican,Senate
M:C001059,C001059,Jim Costa,CA,Democrat,House
M:C001061,C001061,Emanuel Cleaver,MO,Democrat,House
M:C001063,C001063,Henry Cuellar,TX,Democrat,House
M:C001066,C001066,Kathy Castor,FL,Democrat,House
M:C001069,C001069,Joe Courtney,CT,Democrat,House
M:C001075,C001075,Bill Cassidy,LA,Republican,Senate
M:C001080,C001080,Judy Chu,CA,Democrat,House
M:C001096,C001096,Kevin Cramer,ND,Republican,Senate
M:C001101,C001101,Katherine M. Clark,MA,Democrat,House
M:C001103,C001103,"Earl L. ""Buddy"" Carter",GA,Republican,House
M:C001110,C001110,J. Luis Correa,CA,Democrat,House
M:C001118,C001118,Ben Cline,VA,Republican,House
M:C001121,C001121,Jason Crow,CO,Democrat,House
M:C001125,C001125,Troy A. Carter,LA,Democrat,House
M:C001126,C001126,Mike Carey,OH,Republican,House
M:C001129,C001129,Mike Collins,GA,Republican,House
M:C001130,C001130,Jasmine Crockett,TX,Democrat,House
M:C001133,C001133,Juan Ciscomani,AZ,Republican,House
M:C001137,C001137,Jeff Crank,CO,Republican,House
M:D000197,D000197,Diana DeGette,CO,Democrat,House
M:D000216,D000216,Rosa L. DeLauro,CT,Democrat,House
M:D000230,D000230,Donald G. Davis,NC,Democrat,House
M:D000530,D000530,Christopher R. Deluzio,PA,Democrat,House
M:D000563,D000563,Richard J. Durbin,IL,Democrat,Senate
