doc_id,entity_id,source_class,title,body,published_at,url
PR_A000380_2026-01-01_02658,M:A000380,press_release,Amo Calls Out Republicans’ Health Care Cost Crisis,"Providence, RI – TODAY, Congressman Gabe Amo (D-RI) released the following statement as Congressional Republicans recklessly allowed the expiration of the enhanced premium Affordable Care Act tax credits as of today, January 1, which is raising the cost of health insurance premiums and forcing families into financial insecurity and a lack of essential health care coverage.

“The expiration of the enhanced premium Affordable Care Act tax credits is a moment of crisis for 22 million Americans, including over 41,000 Rhode Islanders, and for our entire health care system. Families are beginning 2026 facing soaring insurance premiums, disrupted or inadequate coverage, and making the very real decision of going without care. From small businesses to early retirees to middle-income families, millions will have to make impossible choices trying to figure out which bills they can afford to pay because Republicans refused to act. These aren’t abstract stories — they’re parents skipping prescriptions, seniors worrying about their next doctor visit, and Rhode Islanders being forced to gamble with their health.

I have fought to stop the Republican health crisis at every turn. I proudly joined all of my Democratic colleagues in signing a discharge petition to compel Speaker Mike Johnson to bring up a vote on a clean, three-year extension of tax credits to lower health care costs. As we look ahead to a vote, I will keep pressing House Republicans to stop playing politics with people’s lives and protect health care for Rhode Islanders.”

Background

Donald Trump and Congressional Republicans failed to stop the expiration of the enhanced premium Affordable Care Act tax credits that help more than 22 million Americans afford their health care, including more than 41,000 Rhode Islanders.

Congressman Amo has fought Trump and Republicans’ attempts to undercut the American health care system at every turn.

In December 2025, Congressman Amo led a town hall with HealthSource RI to answer Rhode Islander’s questions about the Republican health care crisis.

In November 2025, Amo met with Marlene Prichard, a retired teacher and breast cancer survivor, to hear how her health insurance premiums will jump from roughly $800 a month to over $1400 a month in 2026.

Amo joined behavioral and mental health leaders at Butler Hospital in October 2025 to discuss how Republican attacks on health care impede Rhode Islanders’ ability to get care.

In September 2025, Congressman Amo rallied with HealthSource RI Director Lindsay Lang, health care providers, patients, and community leaders at Blackstone Valley Community Health Care to demand Republicans extend cost-saving Affordable Care Act health insurance tax credits that help Americans afford health care.

###",2026-01-01,https://amo.house.gov/press-release/amo-calls-out-republicans-health-care-cost-crisis
PR_K000404_2026-01-02_34947,M:K000404,press_release,April 2025,"April was a full month continued our advocacy for economic recovery, healthcare equity, workforce stability, transportation access, and keeping the people of the CNMI informed and engaged. In Washington, I continued pushing for transparency and accountability on critical funding issues, including ongoing efforts to recover PUA and FPUC funds. I shared updates directly with the community to cut through confusion and remain honest about the challenges and realities of our economy and the need for action.

Through my work on the House Transportation and Infrastructure Committee, I participated in major markups advancing legislation to strengthen supply chains, secure ports, protect American shipping, and improve transportation safety and oversight. I also raised the CNMI’s unique aviation and infrastructure needs during FAA reauthorization discussions, emphasizing that air service is not a luxury for isolated communities but a lifeline for healthcare, commerce, tourism, and national defense.

Supporting small businesses and workers remained a top priority. I pressed federal agencies on delays impacting CW-1 processing and EVS-TAP, warning that labor shortages and visitor delays directly threaten our recovery. In the House Committee on Small Business, I highlighted barriers that prevent CNMI businesses from accessing investment programs and continued advocating for flexible, common-sense policies that reflect island realities. I also marked my first 100 days in Congress, reflecting on progress made through casework, legislation, and constant engagement.

Healthcare equity was front and center this month. I met with CHCC leadership to address Medicaid funding caps and inequities, expanded outreach with community health providers, and continued advocating for veterans’ access to care and benefits. I also honored service members, veterans, and their families, recognizing the sacrifices they make on behalf of our nation.",2026-01-02,https://king-hinds.house.gov/media/newsletters/april-2025
PR_K000404_2026-01-02_76425,M:K000404,press_release,December 2025,"Wrapping up the year, this December I joined hearings focused on strengthening the workforce of veterans, advocating for education, vocational training, and entrepreneurship opportunities. I also supported critically disabled veterans through H.R. 6047, ensuring life-sustaining care for those who sacrificed for our country. The “From Service to Startup” hearing highlighted ways to remove barriers for veteran entrepreneurs, including improving access to capital and peer networks.

The National Defense Authorization Act was signed into law, securing CNMI eligibility for military ship repair contracts, authorizing Coast Guard operational studies, and streamlining supplies for military-led community infrastructure projects. I introduced H.R. 6652, the U.S. Vets of the FAS Act, to expand telehealth and pharmacy access for veterans in the Freely Associated States. The Territories Airport Support Act H.R. 6448 and Medicaid Advancement Act H.R. 6690 were introduced to strengthen infrastructure and healthcare funding in the Marianas.

I engaged with international and regional partners, including Members of Vanuatu’s Parliament, advocating for shared economic priorities and Pacific partnerships. CNMI leaders, students, and families visited Washington, D.C., to participate in discussions, Capitol tours, and educational opportunities.",2026-01-02,https://king-hinds.house.gov/media/newsletters/december-2025
PR_K000404_2026-01-02_30972,M:K000404,press_release,July 2025,"This July, we celebrated the 79th Liberation Day in the CNMI, honoring those who endured WWII hardships and recognizing the resilience that has carried our people forward. Our communities continue to thrive as part of the American political family, building a future rooted in dignity, culture, and opportunity. We also joined the nation in celebrating Independence Day, reflecting on the freedoms and values we share while preserving our unique identity.

Significant legislative wins came with the House passing H.R. 1, the One Big Beautiful Bill, securing permanent increases to the Child Tax Credit, eliminating federal taxes on tips and overtime, and protecting CNMI’s Medicaid and Nutrition Assistance Programs. Additionally, H.R. 4408 (UNITY Act) was introduced to advanced disaster preparedness and veterans’ healthcare in the CNMI, while the Coast Guard Authorization Act moved forward with provisions for feasibility studies on expanding maritime presence in our waters.

We welcomed sixteen CNMI artists who participated in the 2025 Smithsonian Folklife Festival, and held meetings with Youth Congress leaders, NAP staff, and CJPA highlighted ongoing engagement with local programs. Visits from constituents, government finance officers, and APAICS interns reinforced the connection between the CNMI and national institutions.

Economic and infrastructure progress continued with $5.5 million earmarked for Marianas projects, updates on EVS-TAP restoring tourism, and efforts to secure fair tax revenue from DoD activities. Advocacy with SBA, USDA, and the Department of Transportation focused on supporting local businesses, farmers, and international air access.",2026-01-02,https://king-hinds.house.gov/media/newsletters/july-2025
PR_K000404_2026-01-02_59728,M:K000404,press_release,May 2025,"May was a month focused on economic recovery, healthcare equity, national security, education, and strengthening regional and international partnerships for the CNMI. Whether in Washington. or back home across Saipan, Tinian, and Rota, my work this month centered on making sure the needs of our islands were heard, understood, and acted upon at every level of government.

In Washington, I introduced and advanced legislation to improve healthcare access, including the Medicaid Improvement for Insular Areas Act and the TRAVEL Act to expand veteran medical services in the territories. I also voted to support major investments in Coast Guard operations and FAA modernization, strengthening border security, aviation safety, and critical infrastructure while reducing the federal deficit. Through committee markups and hearings, I pushed for policies that support small businesses, reduce regulatory burdens, and reflect the realities of island economies.

I pressed VA leadership on staffing vacancies, healthcare access, and promised services for the CNMI, securing progress on long-delayed positions and continued accountability. I also worked closely with FEMA, HUD, and other federal agencies to protect recovery funds, advance housing investments, and move long-stalled disaster projects forward.

Back home in the CNMI, I met with mayors, educators, healthcare leaders, business owners, students, artists, and community advocates. From celebrating student achievements and hosting the Congressional Art Competition, to supporting cultural preservation, disability advocacy, animal welfare, and wellness initiatives, May reinforced the importance of staying connected to the people behind the policies. I also welcomed regional partners from Guam, Japan, Micronesia, and across the Pacific, strengthening collaboration on education, tourism, security, and economic development.",2026-01-02,https://king-hinds.house.gov/media/newsletters/may-2025
PR_G000553_2026-01-03_12136,M:G000553,press_release,Congressman Al Green’s Statement on U.S. Military Action in Venezuela and Commitment to Continue the Fight to Subsidize Healthcare,"(Houston, TX)—Today, Congressman Al Green released the following statement regarding recent events in Venezuela and emphasizing the urgent need to prioritize healthcare access by extending Affordable Care Act subsidies for Americans. See Congressman Al Green’s statement below and access his letter to Speaker Johnson by clicking here.

Congressman Al Green stated, “I oppose putting boots on the ground in Venezuela. We cannot allow President Trump to continue engaging our military in strikes against nations without consulting Congress. I have asked the Speaker of the House to provide a congressional briefing that will explain the President’s authority to bomb another country and capture its president without consulting Congress. Also, know that I will not allow the President’s actions in Venezuela to distract me from fighting to provide necessary healthcare for the American people. For some, these subsidies are a matter of life and death. I will vote to extend the Affordable Care Act subsidies for the millions of Americans affected.”",2026-01-03,https://algreen.house.gov/media/press-releases/congressman-al-greens-statement-us-military-action-venezuela-and-commitment
PR_L000582_2026-01-03_57898,M:L000582,press_release,REP LIEU STATEMENT ON TRUMP MILITARY ACTION IN VENEZUELA,"WASHINGTON - Today, Congressman Ted W. Lieu (D-Los Angeles County) issued the following statement after the Trump Administration conducted a large-scale strike on Venezuela and captured Venezuelan President Nicolás Maduro and his wife. At a subsequent press conference at his Mar-A-Lago estate, President Trump said of Venezuela: ""We are going to run the country.”

""The U.S. attack on Venezuela is illegal. Congress never authorized this use of military force. I will vote to stop it.

“This is insane. Health care costs and food prices are surging. Trump’s response is we’re going to run another country. Batshit crazy.”

###",2026-01-03,https://lieu.house.gov/media-center/press-releases/rep-lieu-statement-trump-military-action-venezuela
PR_M000687_2026-01-03_65189,M:M000687,press_release,Congressman Kweisi Mfume Statement on Military Actions in Venezuela,"WASHINGTON, D.C. – Congressman Kweisi Mfume (MD-07) issued the following statement in response to the overnight military actions launched against Venezuela by President Trump:

""Donald Trump's illegal invasion of the sovereign country of Venezuela without military provocation should anger every American and every member of Congress. Trump was elected to run the United States, not Venezuela,"" said Congressman Kweisi Mfume. ""With everyday people struggling to find a way to pay for increasing healthcare costs, higher grocery bills and home heating bills, we don't need a gangster President who spends time invading another country but refuses to take care of American problems first.""

###",2026-01-03,https://mfume.house.gov/media/press-releases/congressman-kweisi-mfume-statement-on-military-actions-in-venezuela
PR_S001208_2026-01-03_23252,M:S001208,press_release,Slotkin Statement on President Trump’s Venezuela Strikes and Ousting of Maduro,"WASHINGTON D.C. — Today, U.S. Senator Elissa Slotkin (D-MI) released the following statement regarding President Trump’s strikes in Venezuela and ousting of Nicolas Maduro:

“President Trump’s decision to bomb targets in Venezuela, depose Nicolas Maduro, and “run” Venezuela continues the signature trend of his presidency: relentless focus on foreign entanglements and looking tough abroad, so as to distract from what’s happening to Americans’ pocketbooks.

“So instead of action on health care costs or housing or energy bills, Americans get military action in Iran, Iraq, Nigeria, Somalia, Syria, Yemen, the Caribbean, the Pacific, and now a long-term engagement in Venezuela.

“Despite all the talking points to the media — and by Cabinet members directly to senators last month — this was never about stopping the drug cartels. If it were, President Trump wouldn’t have pardoned drug kingpin Juan Orlando Hernández, and he’d be going after Mexican cartels that move the fentanyl that’s killed hundreds of thousands of Americans — not fishing boats full of cocaine or, ultimately, the Venezuelan oil fields.

“The President laid out his plan of regime change. He says he now wants to “run” Venezuela and particularly Venezuela’s vast oil reserves.

“Maduro is a bad man, and the people of Venezuela deserve better. But we know that regime change isn’t as simple as removing one leader. While there are comparisons to the arrest of Manuel Noriega in Panama in 1989, let’s not forget that the U.S. sent in over 27,000 troops and lost 23 servicemembers in the process.

“The bottom line is that President Trump wants to look tough by attacking countries abroad to distract from his failure to attack the core issue of the cost of living at home.”

###",2026-01-03,https://www.slotkin.senate.gov/2026/01/03/slotkin-statement-on-president-trumps-venezuela-strikes-and-ousting-of-maduro/
PR_J000294_2026-01-04_24432,M:J000294,press_release,"LEADER JEFFRIES ON MEET THE PRESS: “AS DEMOCRATS, WE’RE COMMITTED TO DRIVING DOWN THE HIGH COST OF LIVING THAT EXISTS IN THIS COUNTRY”","Today, House Democratic Leader Hakeem Jeffries appeared on NBC’s Meet the Press, where he reiterated that Democrats remain committed to lowering the high cost of living and protecting Americans’ healthcare in the midst of the Republican healthcare crisis.

KRISTEN WELKER: And joining me now is House Democratic Leader Hakeem Jeffries of New York. Leader Jeffries, welcome back to Meet the Press.

LEADER JEFFRIES: Good morning.

KRISTEN WELKER: Good morning. Thank you for being here. We obviously have to start with the capture and indictment of Venezuelan President Nicolas Maduro. You have called him a “criminal and authoritarian dictator who has oppressed the people of Venezuela for years.” Is Venezuela better off without Nicolas Maduro in power?

LEADER JEFFRIES: He’s a bad guy, of course, and he’s going to stand trial in the American court of law. At this particular point in time, it remains to be seen whether the people of Venezuela are going to be better off. Donald Trump claims that he’s gonna run Venezuela. He’s done a terrible job running the United States of America. Life hasn’t gotten better for the American people over the last year. Life has gotten worse. He promised to lower the high cost of living. Costs haven’t gone down, they’ve gone up. The healthcare system is broken. Donald Trump refuses to do anything about it to address the Republican healthcare crisis, so the notion that he’s going to run Venezuela and make life better for the Venezuelan people, of course, is belied by the facts as to what he’s done as President here in the United States of America.

KRISTEN WELKER: Well, you just heard my conversation with Secretary Rubio. I asked him about the administration’s decision not to inform Congress ahead of this operation until President Maduro had been captured. Secretary Rubio saying this was not the kind of mission where they could have afforded to notify Congress. There were concerns about leaks. He made that point. President Trump made that point. Was the administration justified in this case in not briefing Congress?

LEADER JEFFRIES: Well, there’s been no evidence that the administration has presented to justify the actions that were taken in terms of there being an imminent threat to the health, the safety, the well-being, the national security of the American people. This was not simply a counter-narcotics operation. It was an act of war. It involved, of course, the Delta Force, and we’re thankful for the precision by which they executed the operation and thankful for the fact that no American lives were lost. But this was a military action involving Delta Force, involving the Army, apparently involving thousands of troops, involving at least 150 military aircraft, perhaps involving dozens of ships off the coast of Venezuela and South America. So, of course, it was a military action, and pursuant to the Constitution, only Congress has the power to declare war, to authorize acts that take place in this regard. And we’ve got to make sure when we return to Washington, D.C., that legislative action is taken to ensure that no further military steps occur absent explicit congressional approval.

KRISTEN WELKER: Alright, let’s talk about when you return to Washington, D.C. One of the big topics at the forefront of Congress will be, of course, the fight over these Obamacare subsidies. They expired just days ago. The House set to vote on a three-year extension of those subsidies, but as you know, Senate Majority Leader John Thune has said it’s a non-starter in the Senate. Why are you putting forward a bill that has absolutely no chance of passing the Senate?

LEADER JEFFRIES: Well, let’s take it one step at a time. We’ve got to make sure that a straightforward extension of the Affordable Care Act tax credits passes out of the House upon our return next week so we can protect the healthcare of tens of millions of Americans who are about to experience dramatically-increased health insurance premiums, co-pays and deductibles. In some instances, health insurance costs will increase by $1,000 or $2,000 per month. That’s completely and totally unacceptable. And Republicans have a responsibility to partner with us as Democrats to stop it to protect the healthcare of everyday Americans, working-class Americans and middle-class Americans. Now, when we successfully pass this bill out of the House of Representatives, we know that there’s a bipartisan majority in the Senate—every single Senate Democrat and at least four Senate Republicans—who support a straightforward extension of the Affordable Care Act tax credits. The votes exist to pass it in the Senate, absent procedural hurdles that John Thune is erecting because Republicans apparently have no interest in protecting the healthcare of everyday Americans. They’d rather protect the interests of Big Oil and their billionaire donors, which is why they enacted massive tax breaks as part of their One Big Ugly Bill.

KRISTEN WELKER: Let me ask you, because as you know, we are 26 days away from another potential government shutdown on the heels of the longest shutdown in U.S. History. Would you support another government shutdown over this battle over healthcare subsidies?

LEADER JEFFRIES: Well, what we’ve said from the very beginning. First of all, we need to resolve this issue within the next week or so, protect the healthcare of the American people, and then continue to fix our broken healthcare system and address the Republican healthcare crisis that’s devastating everyday Americans, including as a result of the fact that they enacted the largest cut to Medicaid in American history. Now, we’ve also said, as it relates to the appropriations process, that we will sit down anytime, anyplace, with anyone in order to find a bipartisan path forward to enact a spending agreement that actually makes life better for the American people. As Democrats, we’re committed to driving down the high cost of living that exists in this country. Donald Trump promised on day one of his presidency that Republicans would lower costs. Costs haven’t gone down, costs have gone up. Housing costs out of control. Grocery costs out of control. Utility bills out of control. Healthcare costs out of control. We’re committed to actually addressing the needs of the American people. That’s one of the problems with this action in Venezuela. How does it actually improve the quality of life of everyday Americans? How is it in America’s national security interest? Why doesn’t Donald Trump and the administration focus on dealing with the affordability crisis? That is not a hoax. It’s very real and something meaningful needs to be done about it. That’s the Democratic commitment.

KRISTEN WELKER: Leader Jeffries, let me ask you, because Tuesday marks the fifth anniversary of the January 6th attack on the Capitol. House Democrats are planning to hold a hearing criticizing President Trump’s decision to pardon all of the rioters. And I wonder, is there anything tangible that you anticipate coming from this hearing, or is this hearing for show?

LEADER JEFFRIES: It’s a substantive hearing. It’ll be about the concerns that have been raised by people all across this country after the fact that on his first day in office, Donald Trump pardoned hundreds of violent felons who brutally attacked the Capitol and beat police officers, more than 140 who were seriously injured. Psychological and physical damage that was done that is permanent in nature. And it was all part of Donald Trump’s effort to halt the peaceful transfer of power, which is one of the bedrocks of American democracy. We’re in our 250th year of representative government. Our democracy is not perfect, but it’s a glorious thing, and it fundamentally has to be protected and preserved. So at minimum, on this fifth anniversary of that horrific attack on the U.S. Capitol, we’re going to address issues of concern related to ensuring we continue to have free and fair elections. We’ve got to get rid of this compliant Republican Congress who function like a reckless rubber stamp for Donald Trump’s extreme agenda as opposed to actually trying to enact policies that make life better for the American people.That’s at the essence of our democracy. And so on Tuesday, it’ll be an important hearing. We’ll hear from Americans from across the ideological spectrum about the horrors of January 6th and why we’ve got to make sure that something like that never happens again.

KRISTEN WELKER: All right, very busy time in this new year on Capitol Hill. We’ll be tracking all of it. Leader Jeffries, thank you so much for joining us. We really appreciate it.

LEADER JEFFRIES: Thank you, and Happy New Year.

KRISTEN WELKER: Happy New Year to you.

Full interview can be watched here.

###",2026-01-04,https://jeffries.house.gov/2026/01/04/leader-jeffries-on-meet-the-press-as-democrats-were-committed-to-driving-down-the-high-cost-of-living-that-exists-in-this-country/
