doc_id,entity_id,window,title,body,published_at,url
PR_J000294_2025-09-01_02255,M:J000294,early,LEADER JEFFRIES STATEMENT ON RETIREMENT ANNOUNCEMENT OF REP. JERRY NADLER,"Today, Democratic Leader Hakeem Jeffries released the following statement after Congressman Jerry Nadler announced he would not seek another term in the House of Representatives:

For nearly five decades in public service, Congressman Jerry Nadler has been a relentless fighter for justice, civil rights and liberties and the fundamental promise of equality for all.

Born to a Jewish chicken farmer in Brooklyn and guided by his background and deeply ingrained values, Congressman Nadler has never forgotten his roots. He has dedicated his life to eradicating discrimination wherever and whenever it exists. As the legendary Chairman of the powerful House Judiciary Committee, he helped lead two historic impeachments and ensure that no one, not even the President, is above the law. In that role, he championed legislation to protect our democracy and the American way of life, fighting for women, people of color and the LGBTQ+ community, including enshrining into law the Respect for Marriage Act.

A proud son of New York City, Rep. Nadler has been a tremendous champion for the New Yorkers he is privileged to represent. After the attacks of September 11, 2001, he spent years fighting for the care and support that New York City and his constituents needed to begin to rebuild and heal. As Dean of the New York delegation, Congressman Nadler has been a dear friend and valued mentor to myself and so many others throughout the People’s House.

Jerry’s years of leadership have earned him a spot among our nation’s greatest public servants. He will be deeply missed by the House Democratic Caucus next term and we wish him and his family the very best in this new chapter.

###",2025-09-01,https://jeffries.house.gov/2025/09/01/leader-jeffries-statement-on-retirement-announcement-of-rep-jerry-nadler/
PR_H001046_2025-09-01_70334,M:H001046,early,Sen. Heinrich Statement on Labor Day,"WASHINGTON – U.S. Senator Martin Heinrich (D-N.M.) released the following statement honoring Labor Day.

“Today we honor American workers – the people who build our country and keep it running.

“I grew up in a union home. My father was a proud IBEW lineman, and his union wages helped me go to school, helped our family afford a home, and provided for my parents in their retirement. These are opportunities that unions have spent decades fighting for, and they are opportunities that every single American deserves.

“Unions are also vital to supporting a thriving New Mexico. Hardworking union workers are building new manufacturing facilities, transmission lines, and clean energy infrastructure – supporting our economy, electrifying our homes, and helping us grow.

“As we celebrate Labor Day this year, I remain committed to fighting for union families, creating more union jobs, and protecting the opportunities union members like my father fought so hard for to achieve the American Dream.""

###",2025-09-01,https://www.heinrich.senate.gov/newsroom/press-releases/sen-heinrich-statement-on-labor-day
PR_S000522_2025-09-02_55647,M:S000522,early,"Breitbart article on Smith-Moolenaar letter'EXCLUSIVE: House China Committee Chairs Urge State Dept. to Distinguish Somaliland, Strengthen U.S. Ties and Counter Chinese Influence'","The letter stresses that the current blanket “Do Not Travel” advisory for Somalia acts as a “severe deterrent for visitors, commerce, and investment,” effectively penalizing Somaliland for the instability in the wider Somali state. By contrast, the lawmakers note, Somaliland has maintained a consistent record of stability under successive, democratically elected governments, preventing terrorism, piracy, and smuggling within its borders, and creating a “safe and prosperous society.” Its security and law enforcement authorities have also ensured the safety of surrounding waters, making it a viable partner for U.S. engagement.

Moolenaar and Smith argue that distinguishing Somaliland from Somalia in U.S. travel advisories would not only reflect the realities on the ground but also incentivize American businesses and investors to pursue opportunities in Somaliland’s natural resources, including critical minerals such as lithium and copper. They note that region-specific travel guidance is already issued by the State Department in other African countries, including Kenya, Ethiopia, and Cameroon.

The lawmakers frame the request as part of a broader effort to counter the Chinese Communist Party’s influence in the Horn of Africa. They highlight Beijing’s military base in Djibouti and its role in facilitating Iran-backed Houthi attacks on Red Sea shipping using Chinese-made weapons and satellite imagery. “It is crucial the United States strengthen relationships with stable, democratic partners in the region to push back against malign Chinese influence,” they wrote.

The letter also details Somaliland’s growing partnerships with other democratic allies, including Taiwan — in health care, infrastructure, and maritime security — and Israel, through its support of the Abraham Accords. Moolenaar and Smith note that the U.S. Development Finance Corporation has signaled a willingness to cooperate with Taiwan on financing critical mineral projects in Somaliland, reinforcing the territory’s strategic value.

“The Department should take this opportunity to demonstrate tangible support for Somaliland, whose democratic commitments and security cooperation align closely with U.S. interests,” the lawmakers concluded.

Speaking exclusively to Breitbart News, Congressman Moolenaar said the proposed travel advisory adjustment would have real-world impact. “From combatting piracy to hosting a Taiwanese Representative Office in its capital, Somaliland has shown its commitment to the United States as both a friend and security partner,” he said. “Establishing a more official U.S. presence in Somaliland would give the United States an important foothold to monitor and counter Beijing’s ever-growing presence in the region that ultimately undermines the safety of Americans at home.”

Rep. Smith added that the travel advisory change would build on progress already made under the Trump administration. “The Trump Administration and Secretary Rubio have already made significant strides in strengthening the U.S.-Somaliland relationship — the United States can continue to nurture this partnership with a separate and more accurate travel advisory, which accords with the stable situation on the ground,” he said.

The push follows Sen. Ted Cruz’s (R-TX) recent call for President Trump to formally recognize Somaliland as a sovereign state, citing its democratic governance, stable society, and strengthening ties with Israel and the West. As Breitbart News previously reported, Cruz argued that official recognition would cement Somaliland as a key U.S. ally in a volatile region where China and Iran are rapidly expanding their influence.

For Moolenaar and Smith, the proposed travel advisory is an immediate, concrete step that would reshape international perception, spur commerce and investment, and send a strong signal of U.S. commitment to a democratic partner in a strategically vital part of the Horn of Africa.",2025-09-02,https://chrissmith.house.gov/news/documentsingle.aspx?DocumentID=414954
PR_J000294_2025-09-02_32265,M:J000294,early,LEADER JEFFRIES: “HOUSE DEMOCRATS HAVE A SIMPLE MESSAGE FOR THE AMERICAN PEOPLE: YOU DESERVE BETTER”,"Today, House Democratic Leader Hakeem Jeffries held a press conference where he emphasized that Democrats will continue to fight to lower the high cost of living, fix our broken healthcare system and clean up corruption.

LEADER JEFFRIES: House Democrats had a very active August District Work Period. We held more than a thousand different events all across the country, interacting with everyday Americans who we are privileged to represent. We talked about the economy, we talked about healthcare and we talked about cleaning up corruption here in Washington, D.C. In this great country, America has become far too expensive. The cost of living is way too high. Donald Trump and House Republicans repeatedly promised to lower the high cost of living on day one. They have failed. Costs aren’t going down. They’re going up. Inflation is going up. Electricity bills are skyrocketing. Everyday Americans are being hit with increased healthcare premiums, copays, deductibles and prescription drug prices. Housing costs have not gone down. They continue to go up. America is too expensive.

The One Big Ugly Bill remains deeply unpopular. In town hall meeting after town hall meeting after town hall meeting, House Republicans were unable to defend their signature so-called legislative accomplishment because it turns out that ripping healthcare away from millions of Americans, ending Medicaid as we know it, closing hospitals, shutting down nursing homes, forcing community-based health clinics to shutter their doors and failing to strengthen the Affordable Care Act are all deeply unpopular with Democrats, Independents and Republicans.

House Democrats have a simple message for the American people: You Deserve Better. We’re going to fight hard to lower the high cost of living. We’re going to fight hard to fix our broken healthcare system. And we’re going to fight hard to clean up corruption so we can deliver a country of the people, by the people and for the people, as opposed to the type of country that we’re seeing under Republican complete control of government, which is a country of the billionaires, by the billionaires and for the billionaires. That’s what the Republican One Big Ugly Bill was all about. They passed legislation that hurts everyday Americans in order to reward their billionaire donors with massive tax breaks. Our message for the American people is clear: You Deserve Better.

Full press conference can be watched here.

###",2025-09-02,https://jeffries.house.gov/2025/09/02/leader-jeffries-house-democrats-have-a-simple-message-for-the-american-people-you-deserve-better/
PR_L000557_2025-09-02_59271,M:L000557,early,Larson Joins Bipartisan Effort to Release Epstein Files,"Washington, D.C. - Today, Rep. John B. Larson (CT-01) signed a bipartisan discharge petition calling for the release of files related to federal investigations into Jeffrey Epstein. After campaigning on a pledge to release them, President Trump’s White House has been lobbying Members of Congress to oppose a House vote. In May, the U.S. Department of Justice reportedly told the President his name was mentioned in the Epstein Files.

“Rather than taking action to lower grocery bills or strengthen Medicare and Social Security, Republicans adjourned the House early at the end of July to avoid a vote on the Epstein Files,” said Larson. “Since we returned to Washington, the White House and Republican leadership have been working the phones to block a vote on their release. Enough with the games and secrecy. What are they hiding and who are they covering for? Tomorrow, we will hear from ten brave survivors of Jeffrey Epstein’s abuse network. They deserve to see their perpetrators brought to justice, no matter how rich or powerful they may be. No one should be above the law in the United States of America. It is time for the House to prove it and get back to work for the people.”",2025-09-02,https://larson.house.gov/media-center/press-releases/larson-joins-bipartisan-effort-release-epstein-files
PR_L000557_2025-09-02_72606,M:L000557,early,Larson Statement on Court Ruling Against Trump Deployment of Troops on U.S. Soil,"“Yet another federal court has confirmed our warnings about President Trump’s abuses of power – he operates outside of the law,” said Larson. “Whether it is masked ICE operatives separating families in Newington or ordering the Marines to patrol Los Angeles streets, Donald Trump wants to treat federal forces like his personal army. That is not the America I know. Connecticut families deserve leaders who stand up for their rights and protect them from these heavy-handed, illegal tactics. Judge Breyer was right to rein in Trump's moves in Los Angeles. Will House Republicans step up to defend the Constitution, or will they continue to enable this president’s descent toward authoritarianism?”

Following last week’s ICE raid in Newington, Rep. Larson called on Congress to pass the No Secret Police Actto require ICE agents to identify themselves and bar them from wearing masks. He is also cosponsoring a resolution to end President Trump’s federal takeover of law enforcement in Washington, D.C.",2025-09-02,https://larson.house.gov/media-center/press-releases/larson-statement-court-ruling-against-trump-deployment-troops-us-soil
PR_B001277_2025-09-02_16558,M:B001277,early,"Blumenthal, Takano & Colleagues Demand Trump VA Rescind Dangerous New Proposed Rule to Ban Life-Saving Abortions for Veterans","[WASHINGTON, D.C.] – Senate Veterans’ Affairs Committee Ranking Member Richard Blumenthal (D-CT) and House Veterans’ Affairs Committee Ranking Member Mark Takano (D-CA) today led a group of their colleagues to demand the Trump Administration’s Department of Veterans Affairs (VA) rescind their dangerous new proposed rule to reinstate a near-total ban on abortions and abortion counseling, including for veterans who have been raped or whose pregnancy is threatening their health.

“This incredibly dangerous and reckless rule change will take away essential health care for veterans and beneficiaries of the Civilian Health and Medical Program of the Department of Veterans Affairs (CHAMPVA),” the lawmakers wrote in a public comment letter responding to the proposed rule. “For the past three years, these patients have been able to obtain comprehensive pregnancy counseling, including information about abortion services, and abortion care in cases of rape, incest, or life or health endangerment. This proposed rule seriously calls into question whether the Department is putting political allegiances and culture wars ahead of its sacred obligation to deliver quality, life-saving health care to veterans, including the more than 462,000 women veterans of reproductive age enrolled in VA health care.”

In September 2022, VA began to offer abortion counseling to all pregnant veterans and CHAMPVA beneficiaries, and abortion in cases of rape, incest, or if the life or health of the veteran or CHAMPVA beneficiary was at risk. This was in response to the Dobbs v. Jackson Women’s Health Organization ruling creating urgent risks to the lives and health of pregnant veterans and CHAMPVA beneficiaries in states that have banned or otherwise severely restricted access to abortion.

The lawmakers slammed VA’s rule for stripping the Department’s ability to provide essential health care in harrowing situations: “Evidence has shown that extreme abortion bans, like the ban this rule would create, cause chaos and confusion for providers, putting them in the impossible position of navigating laws that don’t allow them to deliver the appropriate standard of care to ailing patients. Worse, such a ban would also be extremely dangerous to the health and wellbeing of veterans. As we have seen in states with extreme abortion bans, even those with ‘life exceptions’ in place, patients have faced severe health complications and even death in cases when providers did not know if the patient’s life was endangered enough to be covered under this exception.”

The lawmakers also criticized the Department’s assertion that abortion is an unnecessary service for veterans, detailing the unique service-connected conditions veterans may have that increase the risks associated with pregnancy: “…[W]e find the Department’s claim that ‘abortion is not a ‘needed’ service for veterans’ to be insulting and ignorant. Veterans of reproductive age have high rates of chronic health conditions – many of which may be service connected, including post-traumatic stress disorder (PTSD), severe hypertension, and renal disease – that can increase the risks associated with a pregnancy. If a provider determines these conditions or others make an abortion necessary to preserve a veteran or CHAMPVA beneficiary’s health, access to abortion should be considered essential health care. In addition, veterans who are forced to carry to term pregnancies resulting from rape or incest are at risk of long-lasting psychological conditions and traumatic stress, making abortion access for these veterans needed for protecting their health.”

The Senators concluded their letter by demanding VA reverse this rule on behalf of veterans and their families: “The concerns we raise about this cruel proposal to roll back essential health care for veterans are not ours alone – they are shared by veterans and their families nationwide…Since the Dobbs decision, more than half of women veterans and CHAMPVA beneficiaries of reproductive age live in states that have enacted abortion bans or restrictions. Should their health be in jeopardy due to a pregnancy, or if they are raped, this rule will leave them with nowhere to turn. To finalize this rule will be a failure for our veterans, and we urge the Department to reconsider.”

The letter was signed by 231 lawmakers, including 42 Senators and 189 Representatives.

The full text of the lawmakers’ letter is available here and below.

Dear Dr. Lieberman,

We write today to comment on the Department of Veterans Affairs’ (VA) proposed rule, RIN: 2900-AS31, published in the Federal Register on August 4, 2025, to reinstate a near-total ban on abortions and abortion counseling from VA’s medical benefits package. This incredibly dangerous and reckless rule change will take away essential health care for veterans and beneficiaries of the Civilian Health and Medical Program of the Department of Veterans Affairs (CHAMPVA). For the past three years, these patients have been able to obtain comprehensive pregnancy counseling, including information about abortion services, and abortion care in cases of rape, incest, or life or health endangerment. This proposed rule seriously calls into question whether the Department is putting political allegiances and culture wars ahead of its sacred obligation to deliver quality, life-saving health care to veterans, including the more than 462,000 women veterans of reproductive age enrolled in VA health care.

We reject this rule’s premise that only providing a carveout for abortions in cases of life endangerment is adequate for providing “needed” health care for veterans. Evidence has shown that extreme abortion bans, like the ban this rule would create, cause chaos and confusion for providers, putting them in the impossible position of navigating laws that don’t allow them to deliver the appropriate standard of care to ailing patients. Worse, such a ban would also be extremely dangerous to the health and wellbeing of veterans. As we have seen in states with extreme abortion bans, even those with “life exceptions” in place, patients have faced severe health complications and even death in cases when providers did not know if the patient’s life was endangered enough to be covered under this exception.

Additionally, though this proposed rule claims “[n]o State law prohibits treatment for ectopic pregnancies or miscarriages to save the life of a mother,” there are numerous cases of providers nationwide being unable to provide care for women with ectopic pregnancies or experiencing miscarriages, due to restrictive, ambiguous laws. As such, this rule will now require VA providers to make the impossible determination of whether a veteran is close enough to death to be covered under the “threat to life” exception before providing an abortion. VA’s proposed rule presupposes that a blanket prohibition and a narrow, undefined exception will be sufficient to ensure VA can provide “needed” care to veterans and that “the lives of pregnant women will continue to be protected…” instead of trusting veterans and their providers to decide on a path forward that actually meets patients’ needs and protects their lives. This is no way to treat our veterans, or VA providers.

Beyond the ban on abortion care, the prohibition on abortion counseling in this proposed rule also endangers VA’s ability to provide appropriate care to veterans. Regardless of the reason a veteran chooses or needs to seek abortion care, they must be allowed to discuss all their health care options openly and honestly with their provider. In removing VA providers’ ability to provide comprehensive, evidence-based pregnancy counseling, including information about abortion services, in this proposed rule, the Department is unnecessarily and detrimentally allowing the government to interfere with health care decisions that should be between a veteran and their provider. In putting forth this proposed rule, VA has decided that its political judgement and legal analysis should supplant medical care decisions that are best made by providers and the patients in their care, even in life and death situations.

Further, despite VA’s argument that previous eligibility requirements for abortion care and counseling at the Department – as put in place under the Biden Administration’s September 9, 2022, interim final rule – were contradictory to “decades of Federal policy against forced taxpayer funding for abortion,” the Biden-era rule brought VA more in line with abortion coverage in other federal programs. Most federally funded health programs – including those covered under the Hyde Amendment – have carveouts for abortions in cases of rape, incest, or life endangerment. VA’s rule will lead to an inequity for veterans and CHAMPVA beneficiaries when compared to their civilian counterparts, making their access to abortion care more limited than those who use almost any other federally funded health care program.

This proposed rule also claims the Biden-era rule was an act of overreach, “creating a purported Federal entitlement to abortion for veterans where none had existed before and without regard to State law.” In reality, the Department has previously issued a regulation (38 CFR 17.419) confirming the ability of VA providers to practice their health care profession consistent with the scope of their VA employment, regardless of any State license, registration, certification, or other requirements that unduly interfere with their practice. Additionally, the Justice Department issued an opinion after the release of the Biden-era rule, citing the Supremacy Clause of the U.S. Constitution and its applicability to the Biden rule: “[s]tates may not impose criminal or civil liability on VA employees…who provide or facilitate abortions or related services in a manner authorized by federal law, including VA’s rule.” Given the applicability of VA’s own regulations and the Supremacy Clause of the U.S. Constitution, we fail to see how the Department can reject the Biden-era rule on the premise of “overreach.”

Finally, we find the Department’s claim that “abortion is not a ‘needed’ service for veterans” to be insulting and ignorant. Veterans of reproductive age have high rates of chronic health conditions – many of which may be service connected, including post-traumatic stress disorder (PTSD), severe hypertension, and renal disease – that can increase the risks associated with a pregnancy. If a provider determines these conditions or others make an abortion necessary to preserve a veteran or CHAMPVA beneficiary’s health, access to abortion should be considered essential health care. In addition, veterans who are forced to carry to term pregnancies resulting from rape or incest are at risk of long-lasting psychological conditions and traumatic stress, making abortion access for these veterans needed for protecting their health. It is also vital given the high incidence of military sexual trauma in the Armed Forces, and the number of veterans who already suffer from PTSD or other mental health conditions.

The concerns we raise about this cruel proposal to roll back essential health care for veterans are not ours alone – they are shared by veterans and their families nationwide. A survey conducted by Iraq and Afghanistan Veterans of America after the U.S. Supreme Court’s Dobbs v. Jackson Women’s Health Organization decision found more than two-thirds of their members surveyed supported both VA and the Department of Defense stepping in to ensure veterans, servicemembers, and their families have access to the reproductive care they need. Since the Dobbs decision, more than half of women veterans and CHAMPVA beneficiaries of reproductive age live in states that have enacted abortion bans or restrictions. Should their health be in jeopardy due to a pregnancy, or if they are raped, this rule will leave them with nowhere to turn. To finalize this rule will be a failure for our veterans, and we urge the Department to reconsider.

Thank you for your consideration of this comment.

-30-",2025-09-02,https://www.blumenthal.senate.gov/newsroom/press/release/blumenthal-takano-and-colleagues-demand-trump-va-rescind-dangerous-new-proposed-rule-to-ban-life-saving-abortions-for-veterans
PR_D000622_2025-09-02_34084,M:D000622,early,"Duckworth, Durbin, Ramirez, IL Delegation Members Demand Trump Stop the Politically Motivated, Unlawful Deployment of Military Personnel in Chicago","[CHICAGO, IL] — U.S. Senator Tammy Duckworth (D-IL) joined U.S. Senate Democratic Whip Dick Durbin (D-IL) and Congresswoman Delia C. Ramirez (IL-03) in a letter with 10 Members of Congress from the Illinois delegation to demand that President Donald Trump and the Pentagon suspend plans for the deployment of military personnel to Chicago. The letter comes as the Administration reportedly prepares to use the Naval Station Great Lakes to deploy federal agents and military personnel in Chicago.

The Members of Congress are calling for President Trump to cease what they call an unlawful power grab and Executive Branch overreach.

“The deployment of the U.S. military into American cities is not about safety or security. It is about control. It is about abusing the power of the Executive Branch and threatening Democratic-led cities and states that dare to openly oppose your authoritarianism,” wrote the Members of Congress.

The Administration has justified the deployment of military personnel in democratic cities as a way to crack down on crime. Chicago’s rate of violent crime has fallen 22% this year to date; homicides are down more than 33% and shootings are down 38%.

“Let us be clear: there is no emergency in Chicago that warrants the President of the United States deploying the military,” continued the Members of Congress. “While your Administration manufactures a crisis to abuse this nation’s military power, the work of meeting the needs of our communities is neglected. Your Administration should restore community violence intervention grants, lower the costs of everyday goods impacted by tariffs and stop cutting Medicaid and SNAP, which take away health care and take food off the tables of everyday Americans.”

In the letter, the Members of Congress also questioned the effectiveness of deploying military personnel as wasteful, because it “dangerously degrades military readiness, erodes servicemember morale, and undermines public confidence in a professional and apolitical U.S. Armed Forces.”

The letter is signed by U.S. Representatives Sean Casten (IL-06), Danny Davis (IL-07), Bill Foster (IL-14), Jesús “Chuy” García (IL-04), Jonathan Jackson (IL-01), Robin Kelly (IL-02), Raja Krishnamoorthi (IL-08), Mike Quigley (IL-05), Jan Schakowsky (IL-09) and Lauren Underwood (IL-14).

To read the full letter, click here.

-30-",2025-09-02,https://www.duckworth.senate.gov/news/press-releases/duckworth-durbin-ramirez-il-delegation-members-demand-trump-stop-the-politically-motivated-unlawful-deployment-of-military-personnel-in-chicago
PR_D000563_2025-09-02_93259,M:D000563,early,"Durbin, Duckworth, Ramirez, IL Delegation Members Demand Trump Stop The Politically Motivated, Unlawful Deployment Of Military Personnel In Chicago","CHICAGO — U.S. Senate Democratic Whip Dick Durbin (D-IL) joined U.S. Senator Tammy Duckworth (D-IL) and Congresswoman Delia C. Ramirez (IL-03) in a letter with 10 Members of Congress from the Illinois delegation to demand that President Donald Trump and the Pentagon suspend plans for the deployment of military personnel to Chicago. The letter comes as the Administration reportedly prepares to use the Naval Station Great Lakes to deploy federal agents and military personnel in Chicago.

The Members of Congress are calling for President Trump to cease what they call an unlawful power grab and Executive Branch overreach.

“The deployment of the U.S. military into American cities is not about safety or security. It is about control. It is about abusing the power of the Executive Branch and threatening Democratic-led cities and states that dare to openly oppose your authoritarianism,” wrote the Members of Congress.

The Administration has justified the deployment of military personnel in democratic cities as a way to crack down on crime. Chicago’s rate of violent crime has fallen 22% this year to date; homicides are down more than 33% and shootings are down 38%.

“Let us be clear: there is no emergency in Chicago that warrants the President of the United States deploying the military,” continued the Members of Congress. “While your Administration manufactures a crisis to abuse this nation’s military power, the work of meeting the needs of our communities is neglected. Your Administration should restore community violence intervention grants, lower the costs of everyday goods impacted by tariffs and stop cutting Medicaid and SNAP, which take away health care and take food off the tables of everyday Americans.”

In the letter, the Members of Congress also questioned the effectiveness of deploying military personnel as wasteful, because it “dangerously degrades military readiness, erodes servicemember morale, and undermines public confidence in a professional and apolitical U.S. Armed Forces.”

The letter is signed by U.S. Representatives Sean Casten (IL-06), Danny Davis (IL-07), Bill Foster (IL-14), Jesús “Chuy” García (IL-04), Jonathan Jackson (IL-01), Robin Kelly (IL-02), Raja Krishnamoorthi (IL-08), Mike Quigley (IL-05), Jan Schakowsky (IL-09), and Lauren Underwood (IL-14).

To read the full letter, click here.

-30-",2025-09-02,https://www.durbin.senate.gov/newsroom/press-releases/durbin-duckworth-ramirez-il-delegation-members-demand-trump-stop-the-politically-motivated-unlawful-deployment-of-military-personnel-in-chicago
PR_D000563_2025-09-02_46301,M:D000563,early,"Durbin On Trump's Threat To Deploy Military To Chicago: Dangerous, Illegal, And Unconstitutional","In a speech on the Senate floor, Durbin slammed the President for vowing to deploy the military to Chicago, increase ICE agents

WASHINGTON – U.S. Senate Democratic Whip Dick Durbin (D-IL), Ranking Member of the Senate Judiciary Committee, today condemned President Trump’s threat to deploy the military to Chicago and increase U.S. Immigration and Customs Enforcement (ICE) officers. Even though crime rates in Chicago have been falling for years, President Trump has decided to create a political spectacle in Chicago to distract from his plunging poll numbers.

Durbin began his speech by noting that the National Guard has already been unjustly deployed in both Los Angeles and in the District of Columbia.

“For months now, President Trump has been looking for any excuse to send National Guard troops and active-duty forces into American communities. And over the past few weeks, he has boasted that, ‘Chicago will be’ next. Let me be clear: This would be yet another dangerous, illegal, and unconstitutional abuse of power by Donald Trump,” said Durbin.

Durbin explained that the Trump Administration’s use of federal troops for domestic law enforcement threatens to undermine the U.S. military’s readiness and funding.

“Using the military to [occupy] an American city takes a financial toll on our readiness... Why do we spend so much time on the National Defense Authorization Act? To make sure our military has the money they need to keep America safe... Now we have this prospect, that some other agencies, for some other political reason, are going to be using Department of Defense funds… If we are going to stand by our men and women in uniform and make sure they’re adequately financed, we cannot allow these raids that are being considered by the Trump Administration,” Durbin continued.

In Los Angeles, the deployment of the National Guard cost $134 million, and in D.C., estimates say that it costs $1 million a day to keep the National Guard there.

Durbin continued, “While the National Guard is meant to serve American communities in true emergencies, like pandemics and natural disasters, what is it doing in D.C. at the President’s request? Patrolling neighborhoods for political theater, picking up trash, and spreading mulch… these men and women are being trained to defend our country. [Instead,] they’re being used by this President for political purposes in D.C.”

Durbin emphasized that while crime rates in Chicago are still unacceptably high, successful community-based strategies have helped lower them over the past few years, although the President has cut these strategies’ funding in the recent budget cycle.

“We are reaching out to the most vulnerable members of our communities—directly and personally—and working with trusted, trained leaders who understand the impact that trauma can have on communities… Community-based violence prevention represents a historic federal investment in programs designed to help prevent and reduce violent crime… Ask professional law enforcement, and they will tell you… you can’t arrest your way out of a crime wave. You have got to analyze the basic causes of crime and what to do about it.”

Durbin continued, “Replacing these efforts with troops not trained for urban policing risks alienating residents, destabilizing neighborhoods, and harming the National Guard’s reputation.”

Durbin then went on to highlight the hypocrisy of the Trump Administration for focusing only on crime in blue states, despite the high rates of crime across the country.

“You would think if the President were setting out to eliminate crime across America, he could find many examples in red states… If he’s going after crime, why is he ignoring the states of Louisiana, Mississippi, Arkansas, Tennessee, or Texas? Because they voted for him for President. All of these states have high violent crime rates, but President Trump doesn’t target them because they’re led by Republican officials. It’s a political decision.”

Durbin noted that the unchecked use of the military against American citizens was exactly what the founding fathers feared.

“The founders of this nation understood that an unchecked power to turn the military on the American people poses a grave threat to democracy and individual liberty. Trump’s decision to deploy the military in American cities is more fitting for an authoritarian regime than the democracy that our nation’s founding fathers fought for.”

Despite the attempts of the Trump Administration to focus the nation’s attention on crime, Durbin remarked that the real goal of these deployments is to distract from the other unpopular actions taken by the Administration.

“These tactics are all smoke and mirrors to distract from the real issues. Trump is hoping the American people will forget about his so-called ‘Big, Beautiful Budget’ that rips away health care and food aid from millions across America—all to give tax breaks to the wealthiest. Or forget how his reckless tariff policies are increasing costs on the everyday goods and essentials that working people rely on. Or forget about the Epstein cover-up being orchestrated by this White House. Well, America won’t forget.”

Durbin promised to hold the Trump Administration accountable as Ranking Member of the Senate Judiciary Committee.

Durbin concluded, “We will continue to put pressure on this Administration to explain to the American people why we would waste millions of dollars appropriated for the defense of this country on a political stunt by this president that applies only to blue states… The bottom line is the American people want to be safe in their homes, safe in their neighborhoods, and safe as a nation. This strategy by Donald Trump is not going to achieve that goal.”

Video of Durbin’s remarks on the Senate floor is available here.

Audio of Durbin’s remarks on the Senate floor is available here.

Footage of Durbin’s remarks on the Senate floor is available here for TV Stations.

Today Durbin joined U.S. Senator Tammy Duckworth (D-IL) and Congresswoman Delia C. Ramirez (IL-03) in a letter with 10 Members of Congress from the Illinois delegation to demand that President Donald Trump and the Pentagon suspend plans for the deployment of military personnel to Chicago. The letter comes as the Administration reportedly prepares to use the Naval Station Great Lakes to deploy federal agents and military personnel in Chicago.

-30-",2025-09-02,https://www.durbin.senate.gov/newsroom/press-releases/durbin-on-trumps-threat-to-deploy-military-to-chicago-dangerous-illegal-and-unconstitutional
