doc_id,entity_id,window,title,body,published_at,url
PR_K000404_2026-01-02_63443,M:K000404,recent,April 2025,"April was a full month continued our advocacy for economic recovery, healthcare equity, workforce stability, transportation access, and keeping the people of the CNMI informed and engaged. In Washington, I continued pushing for transparency and accountability on critical funding issues, including ongoing efforts to recover PUA and FPUC funds. I shared updates directly with the community to cut through confusion and remain honest about the challenges and realities of our economy and the need for action.

Through my work on the House Transportation and Infrastructure Committee, I participated in major markups advancing legislation to strengthen supply chains, secure ports, protect American shipping, and improve transportation safety and oversight. I also raised the CNMI’s unique aviation and infrastructure needs during FAA reauthorization discussions, emphasizing that air service is not a luxury for isolated communities but a lifeline for healthcare, commerce, tourism, and national defense.

Supporting small businesses and workers remained a top priority. I pressed federal agencies on delays impacting CW-1 processing and EVS-TAP, warning that labor shortages and visitor delays directly threaten our recovery. In the House Committee on Small Business, I highlighted barriers that prevent CNMI businesses from accessing investment programs and continued advocating for flexible, common-sense policies that reflect island realities. I also marked my first 100 days in Congress, reflecting on progress made through casework, legislation, and constant engagement.

Healthcare equity was front and center this month. I met with CHCC leadership to address Medicaid funding caps and inequities, expanded outreach with community health providers, and continued advocating for veterans’ access to care and benefits. I also honored service members, veterans, and their families, recognizing the sacrifices they make on behalf of our nation.",2026-01-02,https://king-hinds.house.gov/media/newsletters/april-2025
PR_K000404_2026-01-02_87536,M:K000404,recent,August 2025,"In August our “From the Hill to the Vill: Community Conversation” series kicked off in Tinian and Rota, providing an opportunity for residents to share their priorities and hear directly about congressional work. These conversations highlighted challenges in federal programs, small business, and economic development, while fostering meaningful dialogue between myself and the people I represent.

We welcomed congressional and military leaders to the Marianas to discuss REFORPAC training, Pacific Air Forces operations, and the strategic importance of the CNMI. Additionally, visits from USDA, NOAA, the Department of Transportation, and State Department passport services allowed for stronger federal partnerships and support for key local initiatives, including energy programs, weather services, tourism recovery, and workforce development.

Local engagement continued through meetings with CNMI departments, nonprofits, and educational institutions. Highlights included visits to Northern Marianas College, DYS Youth Cultural Immersion Camp, the Office on Aging, Great Harvest, CHCC, DLNR, ACME Holdings, 500 Sails, and the CNMI Department of Labor. These interactions reinforced the importance of understanding community needs firsthand—from youth education and healthcare to workforce training, cultural preservation, and elder care.

Federal funding achievements included $682k for weatherization and energy programs, $1.9M for parks and recreation projects, and $4.9M in FAA Airport Improvement Program funds for Rota. Advocacy efforts also focused on extending Pandemic Unemployment Assistance, supporting veterans, and pushing for FIFA recognition for the Marianas.

Finally, attention was given to historical and cultural preservation, including the 80th anniversary of the Hiroshima bombing, Amelia Earhart research, and storytelling projects highlighting World War II survivors’ experiences.",2026-01-02,https://king-hinds.house.gov/media/newsletters/august-2025
PR_K000404_2026-01-02_87741,M:K000404,recent,"Catch Up with Kim -- January 2, 2025 -- Letter from the Congresswoman","Catch Up with Kim -- January 2, 2025 -- Letter from the Congresswoman
January 2, 2026
Newsletters
Image
Back to top button",2026-01-02,https://king-hinds.house.gov/media/newsletters/catch-kim-january-2-2025-letter-congresswoman
PR_K000404_2026-01-02_30708,M:K000404,recent,December 2025,"Wrapping up the year, this December I joined hearings focused on strengthening the workforce of veterans, advocating for education, vocational training, and entrepreneurship opportunities. I also supported critically disabled veterans through H.R. 6047, ensuring life-sustaining care for those who sacrificed for our country. The “From Service to Startup” hearing highlighted ways to remove barriers for veteran entrepreneurs, including improving access to capital and peer networks.

The National Defense Authorization Act was signed into law, securing CNMI eligibility for military ship repair contracts, authorizing Coast Guard operational studies, and streamlining supplies for military-led community infrastructure projects. I introduced H.R. 6652, the U.S. Vets of the FAS Act, to expand telehealth and pharmacy access for veterans in the Freely Associated States. The Territories Airport Support Act H.R. 6448 and Medicaid Advancement Act H.R. 6690 were introduced to strengthen infrastructure and healthcare funding in the Marianas.

I engaged with international and regional partners, including Members of Vanuatu’s Parliament, advocating for shared economic priorities and Pacific partnerships. CNMI leaders, students, and families visited Washington, D.C., to participate in discussions, Capitol tours, and educational opportunities.",2026-01-02,https://king-hinds.house.gov/media/newsletters/december-2025
PR_K000404_2026-01-02_89811,M:K000404,recent,February 2025,"February was a demanding and productive month focused on protecting critical programs, strengthening economic recovery, and ensuring the CNMI’s voice is heard in Washington. On behalf of students and families back home, I raised concerns directly with the White House regarding delays in federal funding caused by administrative reviews, including impacts to the NextGen Scholarship Program. I made clear that, while oversight matters, broad federal actions must not disrupt essential programs in the CNMI, where even small funding delays have outsized consequences, and was grateful the delay was removed and our students received the resources they need to grow and succeed.

In Washington, I got into the swing of things with my committee assignments. I got my first round of hearings in the bag and had the chance to advocate for rural and isolated communities like the CNMI, where access to capital and flexible federal programs are essential for entrepreneurs and economic recovery. I also pressed the Department of Transportation to restore air service to the CNMI by writing to Secretary Sean Duffy and reinforcing the urgency of reopening tourism markets that sustain local jobs and businesses.

In House Veterans Affairs Committee hearings, I challenged VA officials on the lack of education benefits, access, and healthcare services for CNMI veterans, emphasizing that geography should never determine the level of care a veteran receives. I also ensured our congressional office fully represents all branches of the U.S. Armed Forces.

I welcomed visits from CNMI leaders and partners in Washington, including Northern Marianas College leadership, economic development officials, educators, and business advocates. I also engaged in national security, investment, and territorial policy discussions through IGIA, the State Department, and meetings with federal officials.",2026-01-02,https://king-hinds.house.gov/media/newsletters/february-2025
PR_K000404_2026-01-02_41465,M:K000404,recent,January 2025,"January marked the beginning of my service representing the people of the CNMI in Washington, DC. On January 3rd, I was sworn in alongside my colleagues in the U.S. House of Representatives, taking an oath to defend the Constitution and to serve as a strong voice for the CNMI at the federal level. I am deeply grateful for the trust placed in me and remain committed to advocating for our islands both in Washington, D.C. and at home.

This first month was active and purposeful in DC and at home. In Washington, I was appointed to three House Committees: Transportation and Infrastructure, Veterans Affairs, and Small Business. Through these assignments, I am given the opportunity to advance infrastructure investment, economic recovery, and support for small businesses in the CNMI. I also received appointments to key Transportation and Infrastructure subcommittees covering aviation, highways, transit, emergency management, and economic development.

I joined bipartisan efforts in Congress to lower the cost of living by cosponsoring the Affordable Shipping for All Act, while also advocating for increased maritime border security and federal enforcement in the Marianas. I met with congressional leadership in Washington to raise labor concerns and discuss the future of the CNMI Immigration Transition Program.",2026-01-02,https://king-hinds.house.gov/media/newsletters/january-2025
PR_K000404_2026-01-02_36681,M:K000404,recent,July 2025,"This July, we celebrated the 79th Liberation Day in the CNMI, honoring those who endured WWII hardships and recognizing the resilience that has carried our people forward. Our communities continue to thrive as part of the American political family, building a future rooted in dignity, culture, and opportunity. We also joined the nation in celebrating Independence Day, reflecting on the freedoms and values we share while preserving our unique identity.

Significant legislative wins came with the House passing H.R. 1, the One Big Beautiful Bill, securing permanent increases to the Child Tax Credit, eliminating federal taxes on tips and overtime, and protecting CNMI’s Medicaid and Nutrition Assistance Programs. Additionally, H.R. 4408 (UNITY Act) was introduced to advanced disaster preparedness and veterans’ healthcare in the CNMI, while the Coast Guard Authorization Act moved forward with provisions for feasibility studies on expanding maritime presence in our waters.

We welcomed sixteen CNMI artists who participated in the 2025 Smithsonian Folklife Festival, and held meetings with Youth Congress leaders, NAP staff, and CJPA highlighted ongoing engagement with local programs. Visits from constituents, government finance officers, and APAICS interns reinforced the connection between the CNMI and national institutions.

Economic and infrastructure progress continued with $5.5 million earmarked for Marianas projects, updates on EVS-TAP restoring tourism, and efforts to secure fair tax revenue from DoD activities. Advocacy with SBA, USDA, and the Department of Transportation focused on supporting local businesses, farmers, and international air access.",2026-01-02,https://king-hinds.house.gov/media/newsletters/july-2025
PR_K000404_2026-01-02_56534,M:K000404,recent,June 2025,"In June I was honored to preside on the House floor as Acting Chair of the Committee of the Whole, managing debate and amendments on major public health legislation addressing the opioid epidemic. I remain grateful to House leadership for entrusting me with this responsibility.

Throughout the month, I pressed for a stronger Coast Guard presence in the CNMI and welcomed progress as our islands are now being considered as a potential home port for future fast response cutters. I also supported bipartisan legislation to improve transportation safety, workforce development, and infrastructure efficiency, including introducing the CNMI Ferry Act to expand federal funding for inter-island transportation.

I advanced the HOME Act and the TRAVEL Act, both designed to expand access to housing support, financial counseling, and specialized medical care for veterans in the territories. We welcomed veteran Randy Johnson to DC to testify on behalf of his fellow veterans and their needs. We also secured important report language in the FY 2026 Military Construction and Veterans Affairs appropriations bill to address biosecurity, port improvements, waste management on Tinian, and expanded VA services for veterans in the Marianas and the Freely Associated States.

In Small Business Committee hearings, I raised the continued recovery challenges facing our tourism-dependent economy and urged the SBA to provide flexible relief and expand access for indigenous entrepreneurs. I also successfully advocated for the restoration of humanities funding after one NEH termination letter was rescinded.

I welcomed students, veterans, educators, advocates, and community leaders to Washington, celebrated student achievements, honored historic milestones like the Battle of Saipan and the U.S. Army’s 250th anniversary, and strengthened regional ties across the Pacific.",2026-01-02,https://king-hinds.house.gov/media/newsletters/june-2025
PR_K000404_2026-01-02_92402,M:K000404,recent,March 2025,"March was an intense month focused on advancing economic recovery, strengthening federal partnerships, and ensuring the CNMI’s priorities remain front and center in Washington. I introduced two major pieces of legislation aimed at supporting our workforce and restoring connectivity across our islands. My first bill, H.R. 1797, would amend the Wagner-Peyser Act to finally include the CNMI and American Samoa, ensuring our workers have access to the same employment services, job training, and labor exchange programs available in the states and other territories. I also introduced H.R. 2132 to make CNMI airports eligible for the Essential Air Service Program, a critical step toward affordable and reliable air transportation for our community.

In Washington, I participated in hearings, committee markups, and meetings with leadership, where bipartisan legislation advanced to support small businesses, prevent fraud, and remove barriers for entrepreneurs with disabilities. I also welcomed visits from CNMI educators, cultural leaders, students, business advocates, and regional partners, strengthening collaboration on education funding, workforce development, arts and culture, and economic diversification.

I met directly with CNMI veterans to hear concerns about healthcare access, benefits, and travel burdens, while working with the VA and the Pacific Islands Health Care System to expand outreach services across Saipan, Tinian, and Rota. I also continued pressing for long-term solutions to address the absence of a permanent VA clinic in the CNMI.

I spent time on Saipan, Tinian, and Rota meeting with students, elders, business leaders, local officials, and community members. These conversations reinforced the urgency of addressing high shipping costs, labor shortages, federal regulatory barriers, and the need for sustained tourism recovery.",2026-01-02,https://king-hinds.house.gov/media/newsletters/march-2025
PR_K000404_2026-01-02_08020,M:K000404,recent,May 2025,"May was a month focused on economic recovery, healthcare equity, national security, education, and strengthening regional and international partnerships for the CNMI. Whether in Washington. or back home across Saipan, Tinian, and Rota, my work this month centered on making sure the needs of our islands were heard, understood, and acted upon at every level of government.

In Washington, I introduced and advanced legislation to improve healthcare access, including the Medicaid Improvement for Insular Areas Act and the TRAVEL Act to expand veteran medical services in the territories. I also voted to support major investments in Coast Guard operations and FAA modernization, strengthening border security, aviation safety, and critical infrastructure while reducing the federal deficit. Through committee markups and hearings, I pushed for policies that support small businesses, reduce regulatory burdens, and reflect the realities of island economies.

I pressed VA leadership on staffing vacancies, healthcare access, and promised services for the CNMI, securing progress on long-delayed positions and continued accountability. I also worked closely with FEMA, HUD, and other federal agencies to protect recovery funds, advance housing investments, and move long-stalled disaster projects forward.

Back home in the CNMI, I met with mayors, educators, healthcare leaders, business owners, students, artists, and community advocates. From celebrating student achievements and hosting the Congressional Art Competition, to supporting cultural preservation, disability advocacy, animal welfare, and wellness initiatives, May reinforced the importance of staying connected to the people behind the policies. I also welcomed regional partners from Guam, Japan, Micronesia, and across the Pacific, strengthening collaboration on education, tourism, security, and economic development.",2026-01-02,https://king-hinds.house.gov/media/newsletters/may-2025
